Start time,Request type,Latency,Response code
Thu Oct 22 18:51:12 PDT 2020,Get,1110,200
Thu Oct 22 18:51:12 PDT 2020,Get,1114,200
Thu Oct 22 18:51:12 PDT 2020,Get,1118,200
Thu Oct 22 18:51:12 PDT 2020,Get,1106,200
Thu Oct 22 18:51:12 PDT 2020,Get,1155,200
Thu Oct 22 18:51:12 PDT 2020,Get,1165,200
Thu Oct 22 18:51:12 PDT 2020,Get,1176,200
Thu Oct 22 18:51:13 PDT 2020,Get,1125,200
Thu Oct 22 18:51:13 PDT 2020,Get,1130,200
Thu Oct 22 18:51:13 PDT 2020,Get,1133,200
Thu Oct 22 18:51:13 PDT 2020,Get,1098,200
Thu Oct 22 18:51:13 PDT 2020,Get,1147,200
Thu Oct 22 18:51:13 PDT 2020,Get,1131,200
Thu Oct 22 18:51:13 PDT 2020,Get,1155,200
Thu Oct 22 18:51:14 PDT 2020,Get,972,200
Thu Oct 22 18:51:14 PDT 2020,Get,968,200
Thu Oct 22 18:51:14 PDT 2020,Get,1171,200
Thu Oct 22 18:51:14 PDT 2020,Get,1170,200
Thu Oct 22 18:51:14 PDT 2020,Get,1172,200
Thu Oct 22 18:51:14 PDT 2020,Get,1143,200
Thu Oct 22 18:51:14 PDT 2020,Get,1167,200
Thu Oct 22 18:51:15 PDT 2020,Get,877,200
Thu Oct 22 18:51:15 PDT 2020,Get,880,200
Thu Oct 22 18:51:15 PDT 2020,Get,1012,200
Thu Oct 22 18:51:15 PDT 2020,Get,1012,200
Thu Oct 22 18:51:15 PDT 2020,Get,1035,200
Thu Oct 22 18:51:15 PDT 2020,Get,1099,200
Thu Oct 22 18:51:15 PDT 2020,Get,1079,200
Thu Oct 22 18:51:16 PDT 2020,Get,1313,200
Thu Oct 22 18:51:16 PDT 2020,Get,1334,200
Thu Oct 22 18:51:16 PDT 2020,Get,2453,200
Thu Oct 22 18:51:16 PDT 2020,Get,2544,200
Thu Oct 22 18:51:16 PDT 2020,Get,2899,200
Thu Oct 22 18:51:16 PDT 2020,Get,3379,200
Thu Oct 22 18:51:16 PDT 2020,Get,3489,200
Thu Oct 22 18:51:17 PDT 2020,Get,4676,200
Thu Oct 22 18:51:17 PDT 2020,Get,4638,200
Thu Oct 22 18:51:17 PDT 2020,Get,4678,200
Thu Oct 22 18:51:17 PDT 2020,Get,4700,200
Thu Oct 22 18:51:17 PDT 2020,Get,4684,200
Thu Oct 22 18:51:17 PDT 2020,Get,4684,200
Thu Oct 22 18:51:17 PDT 2020,Get,4695,200
Thu Oct 22 18:51:17 PDT 2020,Get,4716,200
Thu Oct 22 18:51:17 PDT 2020,Get,4725,200
Thu Oct 22 18:51:17 PDT 2020,Get,4735,200
Thu Oct 22 18:51:17 PDT 2020,Get,4742,200
Thu Oct 22 18:51:17 PDT 2020,Get,4740,200
Thu Oct 22 18:51:17 PDT 2020,Get,4752,200
Thu Oct 22 18:51:17 PDT 2020,Get,4752,200
